Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1950 -1.4 -1.3 -1.2 -1.2 -1.1 -0.9 -0.6 -0.5 -0.4 -0.5 -0.6 -0.7
1951 -0.8 -0.6 -0.4 -0.2 0.0 0.4 0.6 1.0 1.1 1.2 1.1 0.9
1952 0.6 0.4 0.3 0.3 0.3 0.1 -0.1 0.0 0.2 0.2 0.2 0.3
1953 0.5 0.6 0.6 0.7 0.7 0.7 0.7 0.7 0.8 0.8 0.8 0.8
1954 0.7 0.5 0.1 -0.4 -0.5 -0.5 -0.6 -0.7 -0.8 -0.7 -0.7 -0.7
1955 -0.7 -0.7 -0.7 -0.8 -0.8 -0.8 -0.8 -0.7 -1.1 -1.4 -1.7 -1.6
1956 -1.1 -0.8 -0.6 -0.5 -0.5 -0.5 -0.5 -0.6 -0.5 -0.5 -0.5 -0.5
1957 -0.3 0.1 0.4 0.7 0.9 1.0 1.1 1.2 1.2 1.3 1.5 1.8
1958 1.8 1.6 1.2 0.9 0.7 0.6 0.5 0.3 0.3 0.4 0.5 0.6
1959 0.6 0.6 0.5 0.3 0.2 -0.1 -0.2 -0.3 -0.1 0.0 0.1 0.0
1960 -0.1 -0.2 -0.2 -0.1 -0.1 0.0 0.1 0.2 0.2 0.1 0.1 0.1
1961 0.0 0.0 0.0 0.1 0.3 0.4 0.2 -0.1 -0.3 -0.3 -0.2 -0.1
1962 -0.2 -0.3 -0.3 -0.3 -0.2 -0.2 0.0 -0.1 -0.2 -0.3 -0.4 -0.5
1963 -0.4 -0.2 0.1 0.3 0.3 0.5 0.8 1.1 1.2 1.3 1.4 1.3
1964 1.1 0.6 0.1 -0.4 -0.6 -0.6 -0.6 -0.7 -0.8 -0.8 -0.8 -0.8
1965 -0.6 -0.3 0.0 0.2 0.5 0.8 1.2 1.5 1.7 1.9 1.9 1.7
1966 1.4 1.1 0.9 0.6 0.4 0.3 0.3 0.1 0.0 -0.1 -0.1 -0.2
1967 -0.3 -0.4 -0.5 -0.4 -0.2 0.1 0.1 -0.1 -0.3 -0.3 -0.3 -0.4
1968 -0.6 -0.8 -0.7 -0.5 -0.2 0.1 0.4 0.5 0.5 0.6 0.8 1.0
1969 1.1 1.1 1.0 0.9 0.8 0.6 0.5 0.5 0.8 0.9 0.9 0.8
1970 0.6 0.4 0.4 0.3 0.1 -0.2 -0.5 -0.7 -0.7 -0.7 -0.8 -1.0
1971 -1.2 -1.3 -1.1 -0.8 -0.7 -0.7 -0.7 -0.7 -0.7 -0.8 -0.9 -0.8
1972 -0.6 -0.3 0.1 0.4 0.6 0.8 1.1 1.4 1.6 1.9 2.1 2.1
1973 1.8 1.2 0.6 -0.1 -0.5 -0.8 -1.0 -1.2 -1.3 -1.6 -1.9 -2.0
